name,price,rating,stock
Set Me Free,￥152.59,Five,19
Mesaerion: The Best Science Fiction Stories 1800-1849,￥328.52,One,19
It's Only the Himalayas,￥394.76,Two,19
Libertarianism for Beginners,￥448.60,Two,19
Olio,￥208.70,One,19
Rip it Up and Start Again,￥306.06,Five,19
Shakespeare's Sonnets,￥180.56,Four,19
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,￥197.51,Four,19
The Requiem Red,￥197.95,One,19
"Starving Hearts (Triangular Trade Trilogy, #1)",￥122.27,Two,19
Sapiens: A Brief History of Humankind,￥473.94,Five,20
You can't bury them all: Poems,￥293.91,Two,17
"In a Dark, Dark Wood",￥171.56,One,18
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",￥500.34,Three,19
The Black Maria,￥455.76,One,19
Maude (1883-1993):She Grew Up with the country,￥157.49,Two,18
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),￥456.99,Five,19
The Bear and the Piano,￥322.40,One,18
The Elephant Tree,￥208.17,Five,18
Behind Closed Doors,￥456.38,Four,18
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,￥271.36,Three,18
The Four Agreements: A Practical Guide to Personal Freedom,￥154.34,Five,18
Wall and Piece,￥386.11,Four,18
Penny Maybe,￥290.94,Three,18
Sophie's World,￥139.31,Five,18
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",￥493.00,One,16
Thirst,￥150.93,Five,16
The Dirty Little Secrets of Getting Your Dream Job,￥291.37,Four,19
The Secret of Dreadwillow Carse,￥490.55,One,16
This One Summer,￥170.33,Four,16
Unicorn Tracks,￥164.13,Three,16
The Natural History of Us (The Fine Art of Pretending #2),￥395.20,Three,16
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",￥223.03,One,16
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",￥386.11,Four,16
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),￥142.28,One,16
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",￥156.70,Three,19
